"","Region","Amylose.content","Protein.content","Alu.Tol"
"1","Europe",15.61333333,8.45,0.73
"2","Mid East",15.09666667,9.5,0.902
"3","America",10.60333333,8.7,0.8
"4","America",20.51333333,9.5,0.63
"5",NA,21.25333333,8.7,0.44
"6","Mid East",16.97666667,7.75,0.55
"7",NA,8.59,8.45,0.78
"8","Mid East",24.64333333,7.2,0.4
"9","E Asia",14.09333333,7.45,0.45
"10",NA,18.88,9,1.18
"11","Africa",22.68,9.35,1.317
"12","S Asia",24.38,7.7,0.333
"13","S Asia",22.76333333,NA,NA
"14","S Asia",24.92333333,7.5,0.29
"15",NA,NA,NA,0.51
"16","S Asia",22.745,7.65,0.15
"17","E Asia",15.38,8.45,0.64
"18","America",14.03,9.1,0.51
"19","S Asia",21.32,8.7,NA
"20",NA,19.60666667,8.2,0.7
"21","E Asia",0.453333333,7.95,0.32
"22","America",12.57666667,7.95,0.53
"23","America",21.95,9.25,0.3
"24","S Asia",19.89333333,9.7,0.13
"25","Africa",19.57,8.35,0.45
"26","America",15.28333333,8.2,0.83
"27","Pacific",22.12666667,10.05,0.692
"28","E Asia",24.79,7.55,0.32
"29","S Asia",24.445,NA,NA
"30","E Asia",23.59,7.4,0.26
"31","E Asia",25.19,9.3,0.578
"32","Pacific",16.04666667,7.95,0.823
"33","E Asia",25.15,7.75,0.3
"34",NA,25.255,8.05,0.39
"35","E Asia",25.355,7.65,0.34
"36","S Asia",27.20666667,7.05,0.16
"37","S Asia",26.5,7.75,0.35
"38","E Asia",0.395,7.2,1
"39","Europe",15.03333333,9.9,0.48
"40","Africa",19.615,9.2,0.698
"41",NA,NA,NA,NA
"42","SE Asia",22.43333333,7.95,0.25
"43","SE Asia",25.72666667,9.6,0.58
"44","America",21.58,8.2,0.69
"45",NA,17.27,NA,0.44
"46","America",12.63333333,8.95,0.74
"47","Pacific",23.28,NA,0.25
"48","E Asia",25.235,8.8,1.15
"49","E Asia",18.32333333,7.75,0.81
"50","America",18.05,7.4,NA
"51","SE Asia",22.68,10.55,0.03
"52","E Asia",NA,NA,NA
"53","Pacific",22.47,7.5,0.58
"54","Africa",24.755,NA,0.36
"55","Pacific",22.97,8,0.92
"56","E Asia",17.705,7.5,0.829
"57","Africa",15.03,8.4,0.53
"58","E Asia",15.84,8.35,0.73
"59","S Asia",26.11,9.1,0.246
"60","S Asia",27.6,8.1,0.26
"61","E Asia",18.215,10.05,0.67
"62","E Asia",18.52666667,10.45,0.75
"63","E Asia",24.23,8.1,0.29
"64","E Asia",18.90666667,8,0.54
"65","E Asia",20.11,8.05,0.71
"66","SE Asia",NA,NA,0.555
"67","America",20.88666667,9.65,0.68
"68",NA,18.35,9.35,0.5
"69","E Asia",23.56,7.7,0.32
"70","S Asia",24.88333333,7.6,0.434
"71","Pacific",26.71666667,7.4,0.8
"72","Pacific",20.5,7.2,0.706
"73","Pacific",19.18,8.8,0.7
"74","Africa",27.48666667,8.6,0.41
"75","America",22.11,8.9,0.57
"76","Africa",27.95666667,7.7,0.24
"77","E Asia",0,9.7,0.75
"78","Pacific",13.93,9.2,0.46
"79","America",21.94333333,8.9,0.91
"80","E Asia",25.28666667,7.8,0.28
"81","E Asia",22.53,10.5,0.24
"82",NA,18.17,7.6,0.75
"83","Pacific",22.84,9,0.768
"84",NA,NA,NA,0.785
"85","America",22.505,9.8,0.779
"86","Europe",13.39,7.6,0.926
"87","S Asia",27.28666667,8.05,0.18
"88","Europe",21.43,8.7,0.85
"89","S Asia",26.32333333,7.95,0.42
"90","America",18.94333333,8,0.986
"91","Europe",18.605,7.45,0.47
"92","America",18.245,7.4,0.788
"93","America",23.87,7.6,0.713
"94","Europe",19.425,8.8,0.911
"95",NA,22.74333333,7.75,0.768
"96","E Asia",17.14333333,7.1,1.03
"97","America",20.08,8.3,0.549
"98","Europe",23.25333333,8.15,0.53
"99","America",23.36,8.05,0.44
"100","S Asia",23.94,8.9,0.41
"101","America",23.15666667,9.1,0.68
"102","Mid East",19.475,9.4,0.643
"103","Europe",19.425,NA,0.75
"104",NA,22.18,8.4,0.641
"105","Africa",NA,NA,NA
"106","Africa",16.86,8.2,0.704
"107","Africa",NA,NA,0.377
"108","SE Asia",21.13,9.8,0.76
"109","Europe",22.41333333,9.8,0.797
"110","America",20.36666667,NA,0.873
"111","America",17.81666667,8.55,0.55
"112","S Asia",27.87333333,6.8,0.441
"113","Africa",23.74,9.15,0.676
"114","America",21.225,9.05,0.59
"115","SE Asia",22.695,7.65,0.27
"116","Europe",16.34,9.05,0.617
"117","Europe",15.13333333,10.05,0.779
"118","Africa",27.09333333,7.5,0.35
"119","Pacific",23.26,7.6,0.469
"120","S Asia",22.73,7.5,0.59
"121","Africa",24.97666667,7.5,0.25
"122","Pacific",24.76333333,7.85,0.31
"123","E Asia",0.063333333,9.7,0.875
"124",NA,NA,NA,0.765
"125","America",12.79666667,8,0.721
"126","America",22.96,8.6,0.65
"127","America",22.905,8.7,0.75
"128","Africa",19.18333333,7.35,0.79
"129","Pacific",13.68,8.6,0.69
"130","Pacific",11.835,9,0.96
"131","Europe",17.555,8.55,0.809
"132","E Asia",23.25,8.7,0.654
"133","Mid East",18.82666667,10.7,NA
"134","Mid East",16.89,8.45,0.68
"135","America",20.255,9.05,0.35
"136",NA,17.715,9.1,0.614
"137","Europe",16.765,10.95,0.62
"138","Europe",13.58,8.75,0.866
"139",NA,12.81333333,8.8,0.853
"140","Africa",24.67333333,8.25,0.25
"141","Africa",26.58666667,8.5,0.4
"142",NA,18.52,8.8,0.56
"143","America",22.665,8.85,0.46
"144","E Asia",23.82,9.65,0.427
"145","E Asia",13.91,7.85,0.997
"146","E Asia",13.46,7.95,0.894
"147","E Asia",22.15,8.55,0.31
"148","E Asia",23.36333333,8.1,0.29
"149","E Asia",0.353333333,8.35,0.713
"150","America",11.40666667,9.6,0.53
"151","Africa",13.54,8.9,0.731
"152","America",21.41,8.4,0.69
"153","Africa",12.58,8,0.607
"154","America",25.21333333,8.15,0.17
"155","America",19.32333333,8.25,0.603
"156","America",19.97,7.95,1.08
"157","Africa",22.33666667,8.5,0.582
"158","Africa",19.34666667,9.4,0.729
"159",NA,24.17,9.35,0.36
"160","Europe",15.46333333,9.8,0.661
"161","Europe",14.78,9.1,0.6
"162","Europe",16.69666667,9.15,0.909
"163","America",20.43666667,8,0.736
"164","Europe",16.30333333,7.75,0.833
"165","America",20.22333333,8.9,0.53
"166","Africa",25.27,8.25,0.43
"167",NA,17.77666667,8.3,0.575
"168","E Asia",25.92333333,7.95,0.4
"169","E Asia",25.93333333,NA,0.37
"170","Europe",18.43,8.85,0.51
"171","Europe",18.22333333,9.6,1.026
"172","Pacific",22.65333333,8.75,0.73
"173","Mid East",27.29333333,8.8,0.3
"174","America",17.39,8.1,0.562
"175",NA,22.80333333,9.65,0.62
"176","Mid East",25.45333333,8.4,0.19
"177","Mid East",25.365,8.65,0.47
"178","Europe",15.97333333,8.25,0.66
"179","Europe",14.36333333,8.85,0.552
"180","Europe",15.515,9.85,0.91
"181","E Asia",14.025,8.35,0.717
"182","E Asia",14.455,8.7,0.828
"183","C Asia",17.60666667,8.65,0.67
"184","C Asia",15.78333333,10.55,0.43
"185",NA,11.10333333,8.85,0.49
"186","Europe",13.36666667,8.9,0.664
"187","Europe",14.65666667,10.15,0.798
"188","Africa",25.55,10.15,0.517
"189","Africa",16.08333333,9.5,0.752
"190","SE Asia",20.89333333,8.85,0.66
"191","SE Asia",15.68,8.5,0.723
"192","Africa",25.25666667,7.75,0.4
"193","Africa",17.01,9.05,0.69
"194","America",14.05,8.5,0.513
"195","C Asia",19.26666667,11.15,0.602
"196","C Asia",16.46333333,8.05,0.744
"197","Africa",15.83333333,7.3,0.85
"198","Africa",15.39666667,8.95,0.726
"199","Africa",14.92,9.6,0.7
"200","S Asia",24.36666667,7.9,0.39
"201","Africa",20.3,8.95,0.48
"202","Africa",13.96333333,8.45,0.575
"203","Europe",15.04,8,0.845
"204","Europe",20.24,11,0.695
"205","Europe",17.77333333,9.9,1.11
"206","SE Asia",23.06333333,7.5,NA
"207","America",15.11666667,8,1.1
"208","Europe",14.885,7.1,0.682
"209","Europe",17.53333333,9.95,0.842
"210","Africa",25.86333333,7.8,0.16
"211","Africa",16.39,6.5,0.44
"212",NA,12.90333333,9.3,0.639
"213","Europe",15.53,8.9,1
"214","Europe",16.77,9.35,0.823
"215","S Asia",26.29666667,7.15,0.31
"216","America",23.25333333,7.65,0.26
"217","E Asia",23.26,9.2,0.3
"218",NA,24.02,7.7,0.76
"219","America",18.91666667,8,1.066
"220","C Asia",14.95,11.3,0.744
"221","C Asia",15.24333333,9.6,0.662
"222","Africa",16.39,8.35,0.896
"223","America",25.36,7.6,0.14
"224",NA,13.72,9.35,0.632
"225","C Asia",17.01,11.05,0.849
"226","C Asia",15.40666667,8.4,0.881
"227","America",20.40666667,9.25,0.649
"228","Africa",19.10333333,8.2,0.716
"229",NA,19.73,6.8,0.78
"230","Africa",10.29,10.5,0.611
"231","SE Asia",14.98666667,7.65,0.823
"232","S Asia",24.62,8.2,0.39
"233","S Asia",24.215,7.9,0.41
"234","S Asia",24.92666667,7.75,0.18
"235","SE Asia",25.05333333,7.5,0.33
"236","S Asia",23.285,8.2,0.49
"237","S Asia",24.97666667,8.55,0.08
"238","S Asia",24.835,7.45,0.39
"239",NA,23.00666667,7.4,0.28
"240","E Asia",18.415,7.9,1.05
"241","S Asia",25.04333333,8.25,0.63
"242","S Asia",25.23333333,8.45,0.44
"243","S Asia",25.93333333,7.5,0.54
"244","S Asia",24.42333333,7.4,0.41
"245","S Asia",25.25,8.6,0.35
"246","SE Asia",22.85666667,8.1,0.22
"247","S Asia",24.62,7.95,0.13
"248","S Asia",NA,7.9,0.62
"249","S Asia",24.89,8.95,0.31
"250","S Asia",25.32,8.45,0.34
"251",NA,23.44,8.05,0.24
"252","SE Asia",25.34333333,8.3,0.3
"253","SE Asia",24.81,9.2,0.34
"254","S Asia",25.36666667,7.9,0.35
"255","SE Asia",14.26666667,7.15,0.656
"256","SE Asia",17.6,8.65,1.107
"257","SE Asia",10.34333333,8.8,0.55
"258","SE Asia",23.915,8.05,0.27
"259","S Asia",23.17666667,6.9,0.78
"260","SE Asia",16.52666667,8.15,0.85
"261","SE Asia",23.60333333,8,0.43
"262",NA,21.04,10.4,NA
"263","Mid East",23.00666667,9,0.35
"264","Mid East",25.45333333,7.4,0.32
"265","America",16.38333333,8.1,0.622
"266","America",14.38333333,8.55,0.712
"267","S Asia",20.07666667,8.1,0.35
"268","S Asia",23.98,8.9,0.14
"269","S Asia",26.37,8.8,0.37
"270","America",21.61666667,8.6,0.42
"271","E Asia",23.98,7.9,0.61
"272","E Asia",22.98,7.6,0.47
"273","S Asia",24.02666667,11.2,0.451
"274","America",17.06333333,10.8,0.699
"275","America",19.90666667,7.8,0.66
"276","S Asia",25.125,9.05,0.24
"277","S Asia",14.57666667,8.7,1.35
"278","S Asia",23.50333333,8.05,0.28
"279","S Asia",23.5,8.7,0.38
"280",NA,20.81666667,9.55,0.886
"281","S Asia",25.24333333,8.8,0.32
"282",NA,15.145,7.65,0.73
"283","S Asia",24.68666667,7.85,0.47
"284",NA,NA,8.45,0.959
"285","E Asia",14.39333333,8.9,0.96
"286","E Asia",12.66333333,9.05,0.676
"287","E Asia",13.08666667,8.8,0.982
"288","E Asia",16.13,8.8,0.809
"289","E Asia",0.056666667,9.9,0.749
"290","E Asia",13.75,8.8,0.767
"291","S Asia",24.85333333,9,0.14
"292","America",21.09,7.6,0.47
"293","S Asia",26.035,8.15,0.12
"294","S Asia",23.73333333,8.1,0.49
"295","S Asia",24.76,8.3,0.24
"296","America",21.47333333,10.05,0.44
"297","Pacific",22.26333333,7.4,0.799
"298","Europe",20.44333333,9.8,0.749
"299","America",21.27666667,8.8,0.751
"300","S Asia",23.42666667,8.5,0.17
"301","America",23.76,8.75,0.594
"302","E Asia",17.91333333,8.25,0.891
"303","E Asia",22.3,8.8,0.82
"304","Mid East",22.52,9.25,0.94
"305","America",23.81666667,7.95,0.39
"306","America",16.38,7.7,0.833
"307","America",9.833333333,8.35,0.924
"308","America",16.01666667,8.45,1.011
"309","America",16.16,10.9,0.628
"310",NA,22.8,8.45,0.287
"311","America",22.42,9.35,0.686
"312","America",20.50666667,9,0.786
"313","America",13.65666667,9.7,0.714
"314","America",14.88,7.9,0.688
"315","Africa",21.31,8.95,0.785
"316","America",25.02,8.425,0.49
"317","America",22.622,8.875,0.92
"318","E Asia",17.206,9.575,0.317
"319","America",21.13,9.45,0.755
"320",NA,23.12,8,0.54
"321","SE Asia",0.21,8.7,0.779
"322","E Asia",17.195,8.05,0.339
"323","S Asia",21.85,9.4,NA
"324","E Asia",24.985,8.35,0.32
"325","S Asia",24.23666667,7.55,0.44
"326","Mid East",19.205,9.05,0.6
"327","America",22.195,8.5,0.65
"328","S Asia",26.095,8.4,0.35
"329",NA,19.32333333,9.6,0.44
"330","S Asia",24.38333333,8.65,0.12
"331","E Asia",18.78,8.6,0.6
"332","E Asia",NA,14.1,0.18
"333","Mid East",20.975,8.75,0.59
"334","America",23.715,8.3,0.68
"335","Mid East",17.21,11.9,0.74
"336","E Asia",13.22333333,8.1,0.81
"337",NA,23.42333333,7.95,0.3
"338","Mid East",26.32,8.05,0.309
"339","Pacific",18.245,9.1,0.944
"340","S Asia",23.24,8.5,0.57
"341","Pacific",18.275,8.9,0.6
"342","E Asia",25.355,7.55,0.43
"343","America",25.525,9.6,NA
"344","America",15.885,9.1,NA
"345","America",21.885,8.2,NA
"346","E Asia",17.975,8.6,0.617
"347","Pacific",16.865,8.25,NA
"348","America",24.065,8.6,NA
"349","America",13.055,9.1,NA
"350","E Asia",25.03,8.35,NA
"351","America",22.555,8.75,NA
"352","America",22.65666667,8.25,NA
"353","Pacific",27.44,8.35,NA
"354","America",22.68333333,8.15,NA
"355","America",20.29666667,9.85,NA
"356","Europe",17.96,8.75,NA
"357","E Asia",1.12,8.25,0.563
"358","America",19.78,9.85,NA
"359","America",21.11,9.8,NA
"360","E Asia",26.37,9.35,NA
"361","E Asia",26.13,8.65,NA
"362","Pacific",22.62,8.2,NA
"363","E Asia",25.07,8.2,NA
"364","S Asia",NA,NA,NA
"365","Africa",24,8.6,NA
"366","E Asia",19.19,7.3,NA
"367","E Asia",0.12,7.35,0.684
"368","Mid East",21.43,7.4,NA
"369","E Asia",18.05,9.3,NA
"370","E Asia",23.53,8.3,NA
"371","E Asia",17.53,10.8,NA
"372","Pacific",23.02,7.3,0.412
"373","America",13.87,9.8,NA
"374","America",22.62,9.2,NA
"375",NA,25.27,8.1,NA
"376","America",23.46333333,8,0.53
"377","S Asia",24.87,8.2,NA
"378","E Asia",22.23,6.9,NA
"379","E Asia",23.80666667,NA,1
"380","E Asia",24.395,8.5,0.8
"381",NA,21.19,8.05,0.646
"382","America",20.09,9.5,0.69
"383","Pacific",20.18666667,11.75,0.86
"384","America",18.38,8.1,0.63
"385","Pacific",23.97,NA,0.37
"386","Pacific",23.13,8.5,0.28
"387","America",14.22,8.7,0.66
"388","America",24.77,8.1,0.32
"389","Pacific",19.515,11.15,0.65
"390","S Asia",25.43,7.7,0.28
"391","S Asia",24.36666667,9.15,0.31
"392","S Asia",26.345,7.7,0.41
"393","E Asia",10.58666667,7.3,0.815
"394","Pacific",22.195,8.7,0.664
"395","America",25.62,NA,0.756
"396","S Asia",25.43,8.4,0.48
"397","E Asia",11.60333333,8.1,0.62
"398","Pacific",20.385,9.3,0.774
"399","S Asia",26.59,7.55,0.201
"400",NA,0.245,8.3,NA
"401","Pacific",0.366666667,8.9,0.663
"402","SE Asia",24.6,8.4,0.591
"403",NA,22.22,7.9,0.6
"404","S Asia",22.56333333,9.9,0.723
"405",NA,0.095,8.15,0.19
"406","E Asia",20.94666667,9.1,0.932
"407","Pacific",17.53333333,8.75,0.59
"408","Africa",17.14666667,9.15,0.58
"409","E Asia",15.45333333,7.5,0.49
"410","SE Asia",12.025,9.75,0.604
"411",NA,23.61333333,7.7,0.448
"412",NA,26.34,8.2,0.689
"413","Africa",22.495,8.95,0.58
